"CDCmake","CDCmodel"
"toyota","toyota-4runner"
"toyota","toyota-avalon"
"toyota","toyota-camry"
"toyota","toyota-corolla"
"toyota","toyota-highlander"
"toyota","toyota-rav4"
"toyota","toyota-tacoma"
"toyota","toyota-tundra"
"jeep","jeep-cherokee"
"jeep","jeep-gladiator"
"jeep","jeep-grand_cherokee"
"jeep","jeep-renegade"
"jeep","jeep-wrangler"
"honda","honda-accord"
"honda","honda-cr_v"
"honda","honda-civic"
"honda","honda-odyssey"
"honda","honda-pilot"
"honda","honda-ridgeline"
"ford","ford-bronco"
"ford","ford-edge"
"ford","ford-escape"
"ford","ford-expedition"
"ford","ford-explorer"
"ford","ford-f_150"
"ford","ford-focus"
"ford","ford-fusion"
"ford","ford-ranger"
"chevrolet","chevrolet-colorado"
"chevrolet","chevrolet-cruze"
"chevrolet","chevrolet-equinox"
"chevrolet","chevrolet-impala"
"chevrolet","chevrolet-silverado_1500"
"chevrolet","chevrolet-suburban"
"chevrolet","chevrolet-tahoe"
"chevrolet","chevrolet-traverse"
